Type,brand,file_urls,model,product,product_lang,source,thumb,url
Инструкция ,Scarlett,scarlett.ru/ajax/files/12080/8c95665ed197ce49e6b620f268cfc412/,sc-has73i05,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/3fb/1000_1500_1/001_SC_HAS73I05_all.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i05/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12163/4fe900ad06ad48f6ee6968ec8a44b964/,sc-has73i09,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/c64/1000_1500_1/001_Key_Visual_SC_HAS73I04_all.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i09/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11826/302ba3c5890839b1aacbf2805294703d/,sc-has73i04,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/ea5/1000_1500_1/001_SC_HAS73I04_all_Key_Visual.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i04/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11758/77091dc7c4e5ad6e487ee144a7823f23/,sc-has7399,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/f4d/1000_1500_1/SC_HAS7399_ov_1.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has7399/
Инструкция ,Scarlett,scarlett.ru/ajax/files/34597/5a9927a020d5d681e90f0756ec43929c/,SC-HD70I73,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/2a6/SC_0001_SC_HD70I73_diag.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70I73/
Инструкция ,Scarlett,scarlett.ru/ajax/files/34528/73fa7c325284eb1d7234c1622449effb/,SC-HD70I57,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/a79/1000_1500_1/SC_HD70I57_diag.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70I57/
Инструкция ,Scarlett,scarlett.ru/ajax/files/175613/8b2fe6d4e21a6ce291cf5700060ee8a1/,SC-HD70IT24,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/bc2/1000_1500_1/SC_HD70IT24ov2.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_sc-hd70it24/
Инструкция ,Scarlett,scarlett.ru/ajax/files/34624/ceee743b0c655d24a7fd58a09878a5c8/,SC-HD70I71,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/401/1000_1500_1/SC_HD70I71_diag.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70I71/
Инструкция ,Scarlett,scarlett.ru/ajax/files/17330/c07d61c415268c946154a7963b066165/,SC-HD70I80,ФЕН,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/7a4/1000_1500_1/SC_HD70I80.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_sc-hd70i80/
Инструкция ,Scarlett,scarlett.ru/ajax/files/16893/851923b4b6ef23aa446cd51bfaf30628/,SC-HD70I77,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/8fa/1000_1500_1/SC_HD70I77.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_sc-hd70i77/
Инструкция ,Scarlett,scarlett.ru/ajax/files/17335/e349bc5cc5995821663ac47bddfe083b/,SC-HD70I45,ФЕН,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/a0d/1000_1500_1/001_key_visual_SC_HD70I45.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_sc-hd70i45/
Инструкция ,Scarlett,scarlett.ru/ajax/files/16776/f0a45a323c7dc4a95a8cc9f9e9e6180b/,SC-HD70I40,СЕНСОРНЫЙ ФЕН,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/619/1000_1500_1/SC_HD70I40.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_sc-hd70i40/
Инструкция ,Scarlett,scarlett.ru/ajax/files/16707/7ab2db15af7d8e9e27239b1cc6e7a1a4/,SC-HD70I72,ФЕН,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/ff0/1000_1500_1/SC_HD70I72_diag.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_sc-hd70i72/
Инструкция ,Scarlett,scarlett.ru/ajax/files/165018/c3d58a1949fd9aeedecda011ed62c342/,SC-HD70IT41,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/41b/1000_1500_1/01_all_SC_HD70IT41.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70IT41/
Инструкция ,Scarlett,scarlett.ru/ajax/files/175613/8b2fe6d4e21a6ce291cf5700060ee8a1/,SC-HD70IT24,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/bc2/1000_1500_1/SC_HD70IT24ov2.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70IT24/
Инструкция ,Scarlett,scarlett.ru/ajax/files/41068/26adae91b571a58dc23772f44886be78/,SC-HD70IT27,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/a28/1000_1500_1/SC_HD70I27_ov2.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70IT27/
Инструкция ,Scarlett,scarlett.ru/ajax/files/165023/f24c953b78a191437d9fe15027e9e55e/,SC-HD70IT44,Фен,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/224/1000_1500_1/SC_HD70IT44_ov2.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70IT44/
Инструкция ,Scarlett,scarlett.ru/ajax/files/20015/e4e15aa9b1d77c5aea8ce7eb47f87304/,SC-HD70I59,ФЕН,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/da5/1000_1500_1/0002_SC_HD70I59_ov2.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70I59/
Инструкция ,Scarlett,scarlett.ru/ajax/files/20019/69b562cfaa7ac83fb48332708e4414fa/,SC-HD70I64,ФЕН,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/25b/1000_1500_1/0001_SC_HD70I64_ov2.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70I64/
Инструкция ,Scarlett,scarlett.ru/ajax/files/17335/e349bc5cc5995821663ac47bddfe083b/,SC-HD70I45,ФЕН,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/a0d/1000_1500_1/001_key_visual_SC_HD70I45.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny/ITM_SC-HD70I45/
