file_urls,type,product,product_parent,model,thumb,url,source,brand,product_lang
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CB6350.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Compactos,HORNOS,CB 6350.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR80701BI29577_121150000_CB6350_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cb6350-0s_121150000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/B9330.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Multifunción,HORNOS,B 9330.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61228BI29568_121060000_B9330_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/b9330-0s_121060000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/B6550.0S-ProductoSheet-ES.pdf,Ficha de producto,Hornos Multifunción,HORNOS,B 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR70177BI29566_121010017_B6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/b6550-0s_121010017/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/BP6550.0W-ProductSheet-ES.pdf,Ficha de producto,Hornos Pirolíticos,HORNOS,BP 6550.0W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61204BI29574_121010000_BP6550_0W_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/bp6550-0w_121010000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/BP6550.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Pirolíticos,HORNOS,BP 6550.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61202BI29573_121010007_BP6550_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/bp6550-0s_121010007/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/B6350.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Multifunción,HORNOS,B 6350.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR80683BI29564_121020018_B6350_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/b6350-0s_121020018/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/BP6350.0S-ProductSheet-ES.pdf,Ficha de producto,Hornos Pirolíticos,HORNOS,BP 6350.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR80680BI29571_121020000_BP6350_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/bp6350-0s_121020000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBP6550.0-ES-Manual.pdf,Manual de instrucciones,Hornos Compactos,HORNOS,CBP 6550.0W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61216BI29591_121140010_CBP6550_0W_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbp6550-0w_121140010/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBP6550.0W-ProductSheet-ES.pdf,Ficha de producto,Hornos Compactos,HORNOS,CBP 6550.0W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61216BI29591_121140010_CBP6550_0W_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbp6550-0w_121140010/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CBD6550.0W-ProductSheet-ES.pdf,Ficha de producto,Hornos Compactos,HORNOS,CBD 6550.0W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR70061BI29580_121240010_CBD6550_0W_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cbd6550-0w_121240010/,home-kueppersbusch.com,Küppersbusch,es
